SEARCH_ENGLISH|QUIZ_ENGLISH|SUBSECTION_ENGLISH|SEARCH_SPANISH|QUIZ_SPANISH|SUBSECTION_SPANISH|SEARCH_FRENCH|QUIZ_FRENCH|SUBSECTION_FRENCH|SEARCH_ITALIAN|QUIZ_ITALIAN|SUBSECTION_ITALIAN|SEARCH_CHINESE|QUIZ_CHINESE|SUBSECTION_CHINESE|SEARCH_ARABIC|QUIZ_ARABIC|SUBSECTION_ARABIC|SEARCH_RUSSIAN|QUIZ_RUSSIAN|SUBSECTION_RUSSIAN|X-Axis|Y-Axis|SOURCE IMAGE|SECTION
Anatomical Orientation, Cranial|Cranial|Anatomical Orientation|Orientación Anatómica, Craneal|Craneal|Orientación Anatómica|Orientation Anatomique, Crânienne|Crânien|Orientation Anatomique|Orientamento Anatomico, Craniale|Craniale|Orientamento Anatomico|解剖学定位，颅骨|颅|解剖学取向|منطقة تشريحية، الجمجمة|الجمجمة|التوجيه التشريحي|Краниальный отдел|краниальный|Анатомическая Oриентация|737|239|01 - ANATOMICAL REGIONS - 01.jpg|01 - Anatomical Regions
Anatomical Orientation, Caudal|Caudal|Anatomical Orientation|Orientación Anatómica, Caudal|Caudal|Orientación Anatómica|Orientation Anatomique, Caudale|Caudal|Orientation Anatomique|Orientamento Anatomico, Caudale|Caudale|Orientamento Anatomico|解剖学定位，尾鳍|尾鳍|解剖学取向|منطقة تشريحية، الذيلية|الذيلية|التوجيه التشريحي|Каудальный отдел|каудальный|Анатомическая Oриентация|737|1366|01 - ANATOMICAL REGIONS - 01.jpg|01 - Anatomical Regions
Anatomical Orientation, Posterior / Dorsal|Posterior / Dorsal|Anatomical Orientation|Orientación Anatómica, Posterior / Dorsal|Posterior / Dorsal|Orientación Anatómica|Orientation Anatomique, Postérieure / Dorsale|Postérieur / Dorsal|Orientation Anatomique|Orientamento Anatomico, Posteriore / Dorsale|Posteriore / Dorsale|Orientamento Anatomico|解剖学定位，后部/背部|后/背|解剖学取向|منطقة تشريحية، الخلفي / الظهرية|الخلفي / الظهرية|التوجيه التشريحي|Задний/Дорсальный отдел|Задний / дорсальный|Анатомическая Oриентация|155|701|01 - ANATOMICAL REGIONS - 01.jpg|01 - Anatomical Regions
Anatomical Orientation, Anterior / Ventral|Anterior / Ventral|Anatomical Orientation|Orientación Anatómica, Anterior / Ventral|Anterior / Ventral|Orientación Anatómica|Orientation Anatomique, Antérieure / Ventrale|Antérieur / Ventral|Orientation Anatomique|Orientamento Anatomico, Anteriore / Ventrale|Anteriore / Ventrale|Orientamento Anatomico|解剖学定位，前/腹|前/腹|解剖学取向|منطقة تشريحية، الأمامي / البطني|الأمامي / البطني|التوجيه التشريحي|Передний/Вентральный отдел|Передний / Вентральный|Анатомическая Oриентация|1301|707|01 - ANATOMICAL REGIONS - 01.jpg|01 - Anatomical Regions
Anatomical Orientation, Superior|Superior|Anatomical Orientation|Orientación Anatómica, Superior|Superior|Orientación Anatómica|Orientation Anatomique, Supérieure|Supérieur|Orientation Anatomique|Orientamento Anatomico, Superiore|Superiore|Orientamento Anatomico|解剖学定位，上方|上方|解剖学取向|منطقة تشريحية، علوي|علوي|التوجيه التشريحي|Верхний отдел|верхний|Анатомическая Oриентация|1643|161|01 - ANATOMICAL REGIONS - 01.jpg|01 - Anatomical Regions
Anatomical Orientation, Inferior|Inferior|Anatomical Orientation|Orientación Anatómica, Inferior|Inferior|Orientación Anatómica|Orientation Anatomique, Inférieure|Inférieur|Orientation Anatomique|Orientamento Anatomico, Inferiore|Inferiore|Orientamento Anatomico|解剖学定位, ​​下方|下|解剖学取向|منطقة تشريحية، سفلي|سفلي|التوجيه التشريحي|Нижний отдел|нижний|Анатомическая Oриентация|1643|2464|01 - ANATOMICAL REGIONS - 01.jpg|01 - Anatomical Regions
Anatomical Orientation, Right|Right|Anatomical Orientation|Orientación Anatómica, Derecha|Derecha|Orientación Anatómica|Orientation Anatomique, Droite|Droite|Orientation Anatomique|Orientamento Anatomico, Destro|Destro|Orientamento Anatomico|解剖学定位, 右|右|解剖学取向|منطقة تشريحية، يمين|يمين|التوجيه التشريحي|Отдел справа|справа|Анатомическая Oриентация|2237|263|01 - ANATOMICAL REGIONS - 01.jpg|01 - Anatomical Regions
Anatomical Orientation, Left|Left|Anatomical Orientation|Orientación Anatómica, Izquierda|Izquierda|Orientación Anatómica|Orientation Anatomique, Gauche|Gauche|Orientation Anatomique|Orientamento Anatomico, Sinistro|Sinistro|Orientamento Anatomico|解剖学定位，左|左|解剖学取向|منطقة تشريحية، يسار|يسار|التوجيه التشريحي|Отдел слева|слева|Анатомическая Oриентация|2753|263|01 - ANATOMICAL REGIONS - 01.jpg|01 - Anatomical Regions
Anatomical Orientation, Proximal|Proximal|Anatomical Orientation|Orientación Anatómica, Proximal|Proximal|Orientación Anatómica|Orientation Anatomique, Proximale|Proximal|Orientation Anatomique|Orientamento Anatomico, Prossimale|Prossimale|Orientamento Anatomico|解剖学定位，近端|近端|解剖学取向|منطقة تشريحية، الأقرب|الأقرب|التوجيه التشريحي|Проксимальный отдел|проксимальный|Анатомическая Oриентация|2753|1301|01 - ANATOMICAL REGIONS - 01.jpg|01 - Anatomical Regions
Anatomical Orientation, Distal|Distal|Anatomical Orientation|Orientación Anatómica, Distal|Distal|Orientación Anatómica|Orientation Anatomique, Distale|Distal|Orientation Anatomique|Orientamento Anatomico, Distale|Distale|Orientamento Anatomico|解剖学定位，远端|末节|解剖学取向|منطقة تشريحية، الأبعد|الأبعد|التوجيه التشريحي|Дистальный отдел|дистальный|Анатомическая Oриентация|2885|2398|01 - ANATOMICAL REGIONS - 01.jpg|01 - Anatomical Regions
